iter	Passed	Remaining
0	1	108
1	2	98
2	2	91
3	3	84
4	4	82
5	5	79
6	5	78
7	6	77
8	7	76
9	8	75
10	9	74
11	10	74
12	10	73
13	11	72
14	12	71
15	13	71
16	14	71
17	15	70
18	16	69
19	16	67
20	17	66
21	18	65
22	19	64
23	20	64
24	21	63
25	21	62
26	22	61
27	23	60
28	24	59
29	25	59
30	26	59
31	27	58
32	28	57
33	29	56
34	30	56
35	31	55
36	32	54
37	33	54
38	33	53
39	34	52
40	35	51
41	36	49
42	36	48
43	37	47
44	38	46
45	39	46
46	40	45
47	41	44
48	41	43
49	42	42
50	43	41
51	44	40
52	45	40
53	45	39
54	46	38
55	47	37
56	48	36
57	48	35
58	49	34
59	50	33
60	51	32
61	52	32
62	53	31
63	53	30
64	54	29
65	55	28
66	56	27
67	57	27
68	58	26
69	59	25
70	60	24
71	60	23
72	61	22
73	62	21
74	63	21
75	64	20
76	65	19
77	66	18
78	66	17
79	67	16
80	68	16
81	69	15
82	70	14
83	70	13
84	71	12
85	72	11
86	73	10
87	74	10
88	75	9
89	75	8
90	76	7
91	77	6
92	78	5
93	79	5
94	80	4
95	80	3
96	81	2
97	82	1
98	83	0
99	84	0
